logread -f
Apr  3 17:36:03 swi-mdm9x28-wp authpriv.info dropbear[4439]: Exit (root): Disconnect received
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c AppInstallHandler() 851 | Application, 'cf3GpioControl,' has been installed.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c AppInstallHandler() 898 | Local install, create new object9 instance.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c GetObject9InstanceForApp() 648 | No instance mapping found, creating new.
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | assetData.c assetData_CreateInstanceById() 1990 | Creating asset instance for lwm2m/9
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | assetData.c assetData_CreateInstanceById() 2092 | Finished creating instance 16 for lwm2m/9
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c GetObject9InstanceForApp() 657 | Recording new instance id.
Apr  3 17:36:03 swi-mdm9x28-wp user.err Legato: =ERR= | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c avcApp_SetSwUpdateState() 3027 | No update is going on. CurrentObj9 = null
Apr  3 17:36:03 swi-mdm9x28-wp user.err Legato: =ERR= | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c avcApp_SetSwUpdateResult() 2962 | No update is going on. CurrentObj9 = null
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c NotifyObj9List() 691 | Found 2 object 9 instances
Apr  3 17:36:03 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | avcAppUpdate.c NotifyObj9List() 692 | obj9ListLen; 26 obj9List: </lwm2m/9/7>,</lwm2m/9/16>
Apr  3 17:36:04 swi-mdm9x28-wp user.info Legato:  INFO | avcDaemon[869]/avcDaemon T=main | assetData.c RegUpdateTimerHandler() 3262 | RegUpdate timer expired; reporting REG_UPDATE
Apr  3 17:36:04 swi-mdm9x28-wp user.err Legato: =ERR= | avcDaemon[869]/avcDaemon T=main | assetData.c assetData_RegistrationUpdate() 1946 | unsupported function called.
Apr  3 17:37:01 swi-mdm9x28-wp authpriv.info dropbear[4580]: Child connection from 192.168.2.3:56925
Apr  3 17:37:01 swi-mdm9x28-wp authpriv.notice dropbear[4580]: Password auth succeeded for 'root' from 192.168.2.3:56925
Apr  3 17:37:01 swi-mdm9x28-wp authpriv.warn dropbear[4581]: lastlog_perform_login: Couldn't stat /var/log/lastlog: No such file or directory
Apr  3 17:37:01 swi-mdm9x28-wp authpriv.warn dropbear[4581]: lastlog_openseek: /var/log/lastlog is not a file or directory!
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c app_Create() 3207 | Creating app 'cf3GpioControl'
Apr  3 17:37:19 swi-mdm9x28-wp user.warn Legato: -WRN- | supervisor[836]/supervisor T=main | proc.c GetWatchdogAction() 359 | cf3GpioControl watchdogAction '' in proc section
Apr  3 17:37:19 swi-mdm9x28-wp user.warn Legato: -WRN- | supervisor[836]/supervisor T=main | proc.c GetWatchdogAction() 359 | cf3GpioControl watchdogAction '' in proc section
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c app_Start() 3420 | Starting app 'cf3GpioControl'
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/dev/log' to '/legato/systems/current/appsWriteable/cf3GpioControl/dev/log'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/dev/null' to '/legato/systems/current/appsWriteable/cf3GpioControl/dev/null'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/dev/zero' to '/legato/systems/current/appsWriteable/cf3GpioControl/dev/zero'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/legato/systems/current/lib/liblegato.so' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/liblegato.so'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/ld-linux.so.3' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/ld-linux.so.3'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/libc.so.6' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libc.so.6'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/libpthread.so.0' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libpthread.so.0'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/librt.so.1' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/librt.so.1'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/libdl.so.2' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libdl.so.2'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/libgcc_s.so.1' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libgcc_s.so.1'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/lib/libm.so.6' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libm.so.6'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/usr/lib/libstdc++.so.6' to '/legato/systems/current/appsWriteable/cf3GpioControl/lib/libstdc++.so.6'.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/legato/systems/current/apps/cf3GpioControl/read-only/lib/libComponent_cf3GpioControlComponent.so' to '/legato/systems/current/appsWri
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/legato/systems/current/apps/cf3GpioControl/read-only/bin/cf3GpioControl' to '/legato/systems/current/appsWriteable/cf3GpioControl/bin
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateTmpFs() 1738 | Mounted tmpfs at /legato/systems/current/appsWriteable/cf3GpioControl/tmp.
Apr  3 17:37:19 swi-mdm9x28-wp user.info Legato:  INFO | supervisor[836]/supervisor T=main | app.c CreateFileLink() 2104 | Created file link '/tmp/legato/serviceDirectoryServer' to '/legato/systems/current/appsWriteable/cf3GpioControl/tmp/legato/serviceDirectoryServer'.
